Carbon Footprint (kg CO2/unit),CO2 Emission per kg (estimated),Biodegradation Time (days),Recyclability (%),Recycled Content (%),Reusability (%),End-of-Life Disposal (%),Waste Reduction Impact (%),Sustainability Target Progress (%),Load Handling Score,Moisture Resistance Score,Thermal Resistance Score,Cost per Unit (USD),Annual Usage (units),Total Material Weight (tons),Supplier Region,Supplier Sustainability Compliance (%),Packaging Type,Suitable Product Categories,Recommended Packaging Use Cases,Recyclability Category
0.79,0.51,242.0,99.0,80.0,52.0,5.0,60.0,90.0,4.0,4.0,5.0,3.14,103063.0,782.0,APAC,88.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
0.85,0.52,187.0,100.0,77.0,46.0,4.0,65.0,88.0,6.0,3.0,5.0,2.7,99808.0,719.0,EU,83.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
0.92,1.44,52150.0,85.0,41.0,86.0,13.0,79.0,78.0,7.0,9.0,8.0,12.72,59942.0,1268.0,LATAM,90.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
1.96,1.4,71775.0,61.0,22.0,12.0,25.0,32.0,60.0,7.0,8.0,6.0,1.46,30357.0,178.0,LATAM,67.0,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,Medium
1.17,1.6,25270.0,86.0,50.0,96.0,11.0,76.0,82.0,7.0,8.0,7.0,14.28,48512.0,1065.0,EU,95.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
1.07,1.42,61952.0,92.0,43.0,89.0,12.0,75.0,80.0,8.0,9.0,7.0,12.18,61002.0,1202.0,EU,89.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
1.08,1.49,35850.0,94.0,44.0,87.0,13.0,74.0,80.0,8.0,7.0,7.0,11.55,59371.0,1147.0,EU,89.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
1.13,1.52,42939.0,92.0,48.0,97.0,11.0,80.0,90.0,7.0,7.0,6.0,14.61,48925.0,1033.0,LATAM,98.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
0.76,0.51,152.0,100.0,77.0,50.0,5.0,60.0,88.0,5.0,3.0,3.0,2.69,101662.0,790.0,LATAM,83.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
3.61,3.15,75493.0,95.0,73.0,99.0,7.0,83.0,72.0,8.0,10.0,9.0,24.63,22295.0,4967.0,EMEA,89.0,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",High
1.21,1.38,66898.0,90.0,47.0,93.0,10.0,81.0,87.0,9.0,7.0,6.0,15.71,51480.0,985.0,EMEA,89.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
0.56,0.29,137.0,100.0,92.0,33.0,3.0,66.0,95.0,2.0,2.0,4.0,1.96,75069.0,637.0,EMEA,79.0,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,High
0.9,0.55,154.0,94.0,79.0,48.0,5.0,60.0,90.0,5.0,3.0,4.0,3.22,96860.0,862.0,APAC,86.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
0.9,0.5,272.0,93.0,79.0,48.0,5.0,58.0,92.0,6.0,4.0,5.0,2.83,99216.0,778.0,AMERICAS,92.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.2,1.39,30911.0,87.0,50.0,95.0,10.0,82.0,85.0,9.0,8.0,7.0,14.68,52156.0,1113.0,ROW,97.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
1.06,1.48,68093.0,87.0,43.0,89.0,12.0,77.0,81.0,8.0,9.0,8.0,12.01,57077.0,1217.0,APAC,92.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
1.18,1.43,25244.0,86.0,52.0,99.0,10.0,82.0,82.0,7.0,8.0,7.0,14.41,49673.0,995.0,EU,86.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
0.47,0.3,177.0,100.0,91.0,33.0,3.0,64.0,96.0,2.0,3.0,4.0,2.2,74542.0,540.0,EMEA,84.0,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,High
0.8,0.47,310.0,100.0,80.0,48.0,5.0,61.0,90.0,5.0,4.0,4.0,3.31,103175.0,758.0,EU,93.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.96,1.6,65985.0,69.0,30.0,12.0,25.0,31.0,63.0,9.0,9.0,7.0,1.86,30397.0,298.0,ROW,69.0,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,Medium
0.73,0.52,332.0,97.0,76.0,50.0,5.0,62.0,88.0,5.0,5.0,4.0,2.94,102220.0,740.0,ROW,84.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
3.56,2.98,103598.0,94.0,72.0,99.0,7.0,82.0,76.0,9.0,10.0,9.0,24.62,21703.0,5063.0,APAC,90.0,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",High
1.12,1.38,29304.0,82.0,48.0,93.0,11.0,79.0,83.0,7.0,9.0,6.0,15.11,51095.0,966.0,EU,93.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
1.06,1.42,10935.0,86.0,36.0,92.0,13.0,75.0,81.0,8.0,7.0,6.0,12.59,62098.0,1250.0,APAC,91.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
0.81,0.51,153.0,100.0,77.0,53.0,5.0,62.0,84.0,4.0,5.0,4.0,2.83,101569.0,765.0,EMEA,86.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
3.57,3.13,99557.0,93.0,71.0,98.0,7.0,83.0,75.0,8.0,10.0,8.0,25.68,19707.0,4939.0,AMERICAS,94.0,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",High
0.53,0.3,176.0,100.0,88.0,32.0,2.0,69.0,96.0,2.0,2.0,4.0,2.02,73907.0,597.0,LATAM,83.0,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,High
0.85,0.52,275.0,96.0,83.0,49.0,6.0,65.0,89.0,6.0,4.0,4.0,3.18,100778.0,819.0,AMERICAS,92.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.06,1.48,41427.0,84.0,48.0,97.0,9.0,80.0,87.0,8.0,7.0,7.0,15.76,48866.0,1053.0,LATAM,97.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
0.8,0.53,101.0,99.0,79.0,48.0,5.0,62.0,87.0,6.0,4.0,4.0,3.1,103099.0,753.0,APAC,83.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.96,1.46,50508.0,69.0,28.0,15.0,26.0,29.0,61.0,9.0,7.0,6.0,1.33,28859.0,219.0,LATAM,70.0,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,Medium
0.72,0.49,242.0,99.0,79.0,52.0,5.0,61.0,93.0,5.0,4.0,4.0,2.8,101569.0,824.0,EMEA,93.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
0.54,0.31,165.0,100.0,84.0,33.0,3.0,64.0,95.0,3.0,1.0,4.0,1.87,76033.0,680.0,AMERICAS,80.0,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,High
0.88,0.48,200.0,97.0,78.0,51.0,6.0,64.0,88.0,5.0,3.0,5.0,3.31,101538.0,816.0,ROW,84.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
0.74,0.51,130.0,97.0,84.0,52.0,5.0,61.0,90.0,5.0,5.0,4.0,2.94,98083.0,782.0,APAC,88.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.14,1.44,25227.0,84.0,51.0,96.0,11.0,79.0,84.0,8.0,8.0,7.0,14.65,51659.0,1010.0,APAC,95.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
1.06,1.52,84260.0,85.0,38.0,94.0,11.0,78.0,79.0,8.0,8.0,6.0,12.72,55887.0,1184.0,LATAM,88.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
0.81,0.51,252.0,99.0,80.0,48.0,5.0,64.0,91.0,4.0,4.0,5.0,2.78,100650.0,782.0,AMERICAS,85.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
3.58,2.98,153549.0,94.0,68.0,96.0,7.0,82.0,75.0,9.0,9.0,9.0,24.96,22070.0,5036.0,LATAM,87.0,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",High
0.58,0.3,179.0,100.0,88.0,34.0,3.0,64.0,96.0,1.0,2.0,3.0,2.5,76742.0,674.0,ROW,78.0,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,High
1.96,1.38,74533.0,62.0,23.0,12.0,26.0,32.0,60.0,7.0,8.0,6.0,1.5,30291.0,257.0,LATAM,67.0,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,Medium
1.06,1.54,37036.0,82.0,41.0,87.0,12.0,72.0,83.0,7.0,7.0,6.0,12.72,57467.0,1176.0,LATAM,96.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
1.21,1.5,31940.0,93.0,50.0,92.0,11.0,78.0,86.0,8.0,7.0,7.0,14.41,47587.0,975.0,AMERICAS,89.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
0.92,1.49,62453.0,81.0,36.0,92.0,12.0,74.0,77.0,8.0,9.0,8.0,12.28,60352.0,1118.0,ROW,90.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
0.76,0.53,154.0,100.0,82.0,50.0,5.0,59.0,91.0,4.0,4.0,4.0,2.98,103323.0,737.0,EU,85.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.06,1.44,76964.0,90.0,49.0,94.0,10.0,83.0,90.0,7.0,7.0,7.0,14.65,49673.0,998.0,EMEA,92.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
3.64,3.06,90587.0,96.0,70.0,98.0,8.0,85.0,76.0,9.0,10.0,8.0,25.43,21272.0,4976.0,AMERICAS,93.0,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",High
0.56,0.28,126.0,94.0,87.0,33.0,2.0,67.0,95.0,3.0,3.0,3.0,2.44,71008.0,634.0,APAC,84.0,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,High
1.15,1.52,40050.0,94.0,50.0,96.0,11.0,82.0,90.0,7.0,7.0,7.0,15.25,50106.0,1088.0,APAC,96.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
3.58,3.07,157790.0,99.0,73.0,98.0,8.0,85.0,73.0,10.0,9.0,9.0,24.33,20573.0,4938.0,APAC,91.0,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",High
1.0,1.6,68326.0,87.0,41.0,89.0,12.0,73.0,81.0,9.0,8.0,8.0,12.7,60528.0,1117.0,APAC,86.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
0.76,0.51,157.0,100.0,78.0,47.0,5.0,61.0,90.0,6.0,5.0,5.0,2.77,100871.0,847.0,EMEA,90.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.21,1.56,41427.0,85.0,50.0,97.0,10.0,80.0,89.0,9.0,6.0,7.0,14.68,52156.0,989.0,LATAM,97.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
1.16,1.48,28329.0,87.0,49.0,95.0,10.0,81.0,85.0,8.0,9.0,7.0,15.75,47124.0,1030.0,APAC,95.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
2.05,1.49,31602.0,77.0,30.0,12.0,25.0,30.0,56.0,8.0,8.0,8.0,1.42,31018.0,171.0,EU,70.0,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,Medium
0.77,0.51,101.0,99.0,77.0,53.0,5.0,61.0,87.0,6.0,5.0,3.0,2.98,103099.0,886.0,APAC,86.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.0,1.49,60408.0,81.0,40.0,92.0,12.0,75.0,77.0,8.0,9.0,6.0,12.01,57077.0,1087.0,LATAM,88.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
0.73,0.55,209.0,100.0,81.0,49.0,5.0,64.0,91.0,5.0,3.0,3.0,3.06,99778.0,745.0,LATAM,86.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
0.53,0.3,152.0,99.0,92.0,32.0,3.0,64.0,93.0,2.0,3.0,4.0,2.54,72675.0,567.0,APAC,78.0,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,High
3.48,3.13,75493.0,95.0,72.0,99.0,8.0,88.0,74.0,9.0,9.0,9.0,24.63,22295.0,5028.0,EMEA,89.0,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",High
0.85,0.51,168.0,100.0,79.0,53.0,5.0,60.0,94.0,5.0,4.0,5.0,3.37,97003.0,778.0,EMEA,84.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.14,1.41,55740.0,88.0,48.0,93.0,11.0,78.0,90.0,7.0,8.0,6.0,14.93,52219.0,1018.0,LATAM,97.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
3.61,3.09,113063.0,86.0,72.0,97.0,7.0,83.0,73.0,8.0,9.0,9.0,24.22,23853.0,5010.0,EU,84.0,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",High
0.86,0.51,230.0,99.0,81.0,50.0,5.0,62.0,85.0,6.0,3.0,4.0,3.07,98791.0,732.0,AMERICAS,83.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
0.54,0.3,165.0,98.0,91.0,30.0,3.0,67.0,95.0,3.0,3.0,3.0,2.4,72166.0,569.0,EU,79.0,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,High
1.06,1.42,86202.0,90.0,38.0,88.0,12.0,75.0,81.0,8.0,7.0,7.0,12.02,60655.0,1239.0,EU,94.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
2.02,1.57,60573.0,77.0,29.0,8.0,26.0,32.0,60.0,8.0,9.0,7.0,1.26,30357.0,211.0,APAC,70.0,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,Medium
1.17,1.45,22097.0,95.0,50.0,96.0,11.0,80.0,86.0,8.0,7.0,6.0,14.65,49673.0,995.0,EMEA,86.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
0.51,0.28,141.0,100.0,87.0,31.0,3.0,68.0,91.0,1.0,2.0,3.0,1.6,73892.0,525.0,LATAM,85.0,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,High
0.79,0.51,332.0,97.0,76.0,51.0,5.0,59.0,86.0,4.0,5.0,4.0,2.94,102220.0,740.0,APAC,84.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
0.79,0.5,152.0,96.0,77.0,47.0,5.0,60.0,86.0,6.0,5.0,3.0,3.06,99778.0,745.0,LATAM,86.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.21,1.4,33525.0,87.0,48.0,96.0,10.0,81.0,87.0,9.0,7.0,6.0,15.74,52785.0,1053.0,ROW,97.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
0.8,0.52,242.0,99.0,81.0,52.0,5.0,63.0,93.0,6.0,3.0,5.0,3.14,103063.0,782.0,LATAM,88.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
0.9,1.48,41490.0,88.0,36.0,88.0,12.0,74.0,84.0,7.0,7.0,7.0,12.7,60528.0,1117.0,AMERICAS,86.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
1.14,1.4,42939.0,92.0,48.0,93.0,11.0,77.0,88.0,9.0,7.0,7.0,14.61,48925.0,1033.0,ROW,98.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
0.92,0.52,275.0,95.0,77.0,48.0,5.0,65.0,88.0,6.0,4.0,5.0,3.18,100778.0,819.0,EMEA,92.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
3.58,3.13,99557.0,94.0,71.0,97.0,8.0,83.0,73.0,9.0,9.0,9.0,25.68,19707.0,5063.0,APAC,94.0,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",High
2.07,1.6,64044.0,78.0,30.0,8.0,26.0,33.0,60.0,7.0,8.0,6.0,1.26,30357.0,211.0,APAC,70.0,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,Medium
0.8,0.51,153.0,98.0,77.0,53.0,5.0,62.0,84.0,5.0,5.0,4.0,2.83,101569.0,765.0,EU,86.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.2,1.37,28329.0,89.0,50.0,96.0,10.0,79.0,85.0,9.0,9.0,7.0,15.75,47124.0,1030.0,AMERICAS,95.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
1.07,1.48,30911.0,93.0,50.0,95.0,10.0,81.0,86.0,7.0,7.0,6.0,14.68,52156.0,1010.0,AMERICAS,95.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
0.96,1.48,40250.0,85.0,36.0,94.0,12.0,74.0,78.0,9.0,9.0,6.0,11.84,60648.0,1118.0,APAC,96.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
0.52,0.29,104.0,99.0,89.0,31.0,3.0,66.0,91.0,2.0,2.0,3.0,1.96,75069.0,637.0,APAC,79.0,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,High
0.85,0.53,209.0,97.0,81.0,49.0,5.0,61.0,90.0,5.0,3.0,3.0,3.06,99778.0,745.0,ROW,86.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.15,1.53,33525.0,90.0,48.0,93.0,11.0,82.0,90.0,7.0,8.0,6.0,15.74,52785.0,1083.0,AMERICAS,93.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
1.08,1.48,35850.0,85.0,44.0,87.0,13.0,79.0,83.0,9.0,8.0,8.0,11.55,59371.0,1147.0,APAC,89.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
3.48,2.83,103598.0,94.0,72.0,99.0,8.0,85.0,76.0,8.0,9.0,9.0,24.62,21703.0,5063.0,ROW,90.0,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",High
1.21,1.45,76964.0,95.0,49.0,94.0,10.0,78.0,82.0,8.0,9.0,6.0,14.65,49673.0,998.0,EMEA,92.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
1.08,1.48,40050.0,91.0,50.0,96.0,10.0,81.0,90.0,7.0,7.0,6.0,15.25,50106.0,1088.0,EMEA,96.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
1.95,1.52,74533.0,62.0,23.0,12.0,25.0,28.0,59.0,8.0,7.0,7.0,1.5,30291.0,257.0,APAC,67.0,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,Medium
0.88,0.54,252.0,98.0,77.0,48.0,5.0,64.0,91.0,6.0,4.0,4.0,2.78,100650.0,782.0,EU,85.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.07,1.46,52150.0,86.0,41.0,86.0,13.0,79.0,83.0,8.0,9.0,6.0,12.72,59942.0,1268.0,APAC,90.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
3.67,3.13,157790.0,88.0,73.0,98.0,7.0,83.0,72.0,8.0,10.0,9.0,24.33,20573.0,4938.0,AMERICAS,91.0,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",High
0.85,0.52,332.0,97.0,78.0,51.0,6.0,65.0,86.0,4.0,3.0,3.0,2.94,102220.0,740.0,ROW,84.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
0.56,0.3,179.0,100.0,88.0,34.0,3.0,69.0,96.0,2.0,3.0,4.0,2.5,76742.0,674.0,ROW,78.0,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,High
1.15,1.47,33532.0,94.0,47.0,93.0,10.0,80.0,91.0,9.0,7.0,6.0,14.4,51174.0,959.0,EMEA,97.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
0.72,0.47,355.0,96.0,84.0,47.0,5.0,59.0,90.0,5.0,3.0,3.0,3.05,102073.0,901.0,LATAM,91.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.15,1.57,31940.0,87.0,50.0,95.0,11.0,80.0,86.0,9.0,8.0,7.0,14.41,47587.0,975.0,ROW,89.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
1.01,1.52,69350.0,82.0,41.0,89.0,12.0,78.0,83.0,8.0,8.0,7.0,11.28,62593.0,1284.0,AMERICAS,90.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
0.73,0.5,230.0,99.0,80.0,51.0,5.0,62.0,85.0,4.0,4.0,4.0,3.07,98791.0,732.0,AMERICAS,83.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
0.92,0.53,157.0,100.0,78.0,47.0,5.0,58.0,90.0,4.0,3.0,3.0,2.77,100871.0,847.0,LATAM,90.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.13,1.44,40031.0,94.0,51.0,96.0,10.0,79.0,83.0,9.0,9.0,7.0,14.59,44696.0,1041.0,LATAM,98.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
1.06,1.46,46640.0,94.0,42.0,94.0,12.0,75.0,75.0,8.0,8.0,8.0,11.69,54650.0,1189.0,EU,88.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
1.18,1.45,41427.0,90.0,47.0,97.0,10.0,82.0,87.0,9.0,7.0,6.0,15.76,48866.0,1053.0,APAC,97.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
2.05,1.57,65985.0,68.0,30.0,12.0,25.0,32.0,63.0,8.0,9.0,6.0,1.86,30397.0,298.0,ROW,69.0,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,Medium
