material_id,material_type,strength_mpa,weight_capacity_kg,biodegradability_percent,co2_emission_kg_per_kg,recyclability_percent,cost_per_kg,industry_use_case,source_type,confidence_level
303,Paper Loose Fill,8,6,90,0.7,88,50,Void Fill,Estimate,Medium
304,Recycled Paper Loose Fill,8,6,92,0.6,92,48,Void Fill,Estimate,Medium
305,PLA Loose Fill,12,8,85,0.8,60,80,Void Fill,Estimate,Medium
306,Molded Starch Foam,14,9,90,0.9,55,85,Protective Packaging,Estimate,Medium
307,Coated Kraft Paper Sack,18,16,60,1.3,75,65,Industrial Goods,Estimate,Medium
308,Recycled Kraft Paper Sack,16,14,70,1.0,85,60,Industrial Goods,Estimate,Medium
309,BioBarrier Coated Sack,17,15,65,1.1,78,72,Food Powders,Estimate,Medium
310,Paper-Clay Composite Board,20,16,80,1.4,70,85,Display,Estimate,Medium
311,Paper-Mineral Composite Board,22,18,75,1.6,65,90,Print Packaging,Estimate,Medium
312,Recycled Paper-Mineral Board,20,17,78,1.3,72,82,Print Packaging,Estimate,Medium
313,HDPE Bottle - Virgin,65,18,1,3.1,55,85,Food/Cosmetics,Literature,High
314,HDPE Bottle - Recycled,65,18,1,2.0,70,82,Food/Cosmetics,Estimate,Medium
315,PP Bottle - Virgin,55,16,1,2.6,45,80,Personal Care,Literature,High
316,PP Bottle - Recycled,55,16,1,1.9,60,76,Personal Care,Estimate,Medium
317,PET Bottle - Virgin,60,18,1,3.0,50,80,Beverages,Literature,High
318,PET Bottle - Recycled Blend,60,18,1,2.0,70,82,Beverages,Estimate,Medium
319,Glass Dropper Bottle,70,10,0,2.4,95,130,Cosmetics,Estimate,Medium
320,Aluminum Dropper Bottle,65,9,1,7.0,90,140,Cosmetics,Estimate,Medium
321,Steel Drum,85,40,0,8.0,90,120,Bulk Liquids,Literature,High
322,Reconditioned Steel Drum,85,40,0,5.0,95,110,Bulk Liquids,Estimate,Medium
323,HDPE Drum,70,35,1,4.0,50,100,Bulk Liquids,Estimate,Medium
324,Recycled HDPE Drum,70,35,1,3.0,65,95,Bulk Liquids,Estimate,Medium
325,IBCs (HDPE Steel Cage),80,100,1,10.0,60,200,Bulk Liquids,Estimate,Medium
326,Wooden Pallet - New,30,1000,60,3.0,60,80,Logistics,Literature,High
327,Wooden Pallet - Recycled,30,1000,60,2.0,75,70,Logistics,Estimate,Medium
328,Plastic Pallet - HDPE,40,1200,1,5.0,50,120,Logistics,Estimate,Medium
329,Recycled Plastic Pallet,40,1200,1,3.5,65,110,Logistics,Estimate,Medium
330,Paper Pallet,25,800,75,1.5,70,90,Logistics,Estimate,Medium
331,Bio-based Plastic Pallet,38,1100,20,3.5,55,130,Logistics,Estimate,Medium
332,Aluminum Pallet,45,1500,1,12.0,85,240,Logistics,Estimate,Medium
333,Mono-material PE Shrink Film,40,12,1,2.4,50,70,Shrink Bundling,Literature,High
334,Recycled PE Shrink Film,40,12,1,1.8,65,68,Shrink Bundling,Estimate,Medium
335,Mono-material PP Shrink Film,42,13,1,2.3,55,72,Shrink Bundling,Estimate,Medium
336,Bio-based Shrink Film,35,11,20,1.6,55,90,Shrink Bundling,Estimate,Medium
337,PaperStrap,20,15,80,0.9,85,60,Bundle Strapping,Estimate,Medium
338,PP Strap,55,20,1,2.5,30,50,Bundle Strapping,Literature,High
339,Recycled PP Strap,55,20,1,1.8,50,48,Bundle Strapping,Estimate,Medium
340,Polyester Strap (PET),65,25,1,3.0,40,70,Heavy Strapping,Estimate,Medium
341,Recycled PET Strap,65,25,1,2.0,60,68,Heavy Strapping,Estimate,Medium
342,Steel Strap,80,30,0,6.0,90,90,Heavy Strapping,Literature,High
343,Bio-based Strap,40,12,30,1.7,60,80,Light Bundling,Estimate,Medium
344,Paper Tape - Virgin,12,5,80,0.8,85,40,Box Sealing,Literature,High
345,Paper Tape - Recycled,12,5,82,0.6,90,38,Box Sealing,Estimate,Medium
346,Plastic Tape - PP,25,6,1,2.3,30,35,Box Sealing,Literature,High
347,Plastic Tape - Recycled,25,6,1,1.7,50,34,Box Sealing,Estimate,Medium
348,Bio-based Plastic Tape,22,6,30,1.5,45,45,Box Sealing,Estimate,Medium
349,Water-activated Paper Tape,14,6,80,0.9,88,42,Box Sealing,Estimate,Medium
350,Compostable Tape,18,6,85,0.7,60,55,Box Sealing,Estimate,Medium
351,Virgin Cardboard - E-commerce Light,14,12,5,1.12,90,44,E-commerce,Estimate,Medium
352,Virgin Cardboard - E-commerce Heavy,18,20,5,1.2,90,48,E-commerce,Estimate,Medium
353,Recycled Cardboard - E-commerce Light,14,12,5,0.78,95,39,E-commerce,Estimate,Medium
354,Recycled Cardboard - E-commerce Heavy,18,20,5,0.85,95,44,E-commerce,Estimate,Medium
355,Virgin Cardboard - White Top,16,15,5,1.16,88,47,Display Boxes,Estimate,Medium
356,Recycled Cardboard - White Top,16,15,5,0.86,92,42,Display Boxes,Estimate,Medium
357,High-strength Virgin Cardboard,20,25,5,1.25,88,52,Industrial,Estimate,Medium
358,High-strength Recycled Cardboard,20,25,5,0.9,93,48,Industrial,Estimate,Medium
359,Low-density Virgin Cardboard,12,10,5,1.05,92,40,Light Goods,Estimate,Medium
360,Low-density Recycled Cardboard,12,10,5,0.76,96,36,Light Goods,Estimate,Medium
361,Recycled Paper - Newsprint,4,4,5,0.55,90,25,Void Fill/Wrap,Estimate,Medium
362,Recycled Paper - High Bright,5,5,5,0.6,88,32,Print Inserts,Estimate,Medium
363,Virgin Paper - High Bright,6,5,5,0.95,80,38,Print Inserts,Estimate,Medium
364,Recycled Paper - Tissue,3,3,5,0.5,92,20,Protective Wrap,Estimate,Medium
365,Virgin Paper - Tissue,3,3,5,0.85,85,22,Protective Wrap,Estimate,Medium
366,Virgin Paper - Board,10,8,5,1.1,82,40,Cartons,Estimate,Medium
367,Recycled Paper - Board,10,8,5,0.8,90,35,Cartons,Estimate,Medium
368,Virgin Paper - Beer Carrier Board,12,10,5,1.2,80,45,Multipacks,Estimate,Medium
369,Recycled Paper - Beer Carrier Board,12,10,5,0.9,88,40,Multipacks,Estimate,Medium
370,Virgin Paper - Liquid Packaging Board,14,12,5,1.3,78,55,Cartons,Estimate,Medium
371,PLA Bioplastic - High Heat,55,11,70,0.7,60,135,Hot Fill Packs,Estimate,Medium
372,PLA Bioplastic - Cold Chain,50,10,85,0.5,70,125,Cold Foods,Estimate,Medium
373,PLA Bioplastic - Fiber-filled,60,12,75,0.8,65,140,Durables,Estimate,Medium
374,PLA Bioplastic - Mineral-filled,65,14,70,0.9,60,145,Durables,Estimate,Medium
375,PLA Bioplastic - Flex-rigid Blend,52,11,80,0.6,68,130,General Packaging,Estimate,Medium
376,Compostable Plastic - Home Compost Low Temp,35,7,90,0.55,68,108,Food Wrap,Estimate,Medium
377,Compostable Plastic - Industrial High Temp,45,9,80,0.65,70,115,Food Packs,Estimate,Medium
378,Compostable Plastic - Transparent Film,32,7,85,0.6,65,104,Window Packs,Estimate,Medium
379,Compostable Plastic - Opaque Film,34,8,85,0.62,65,106,General Wraps,Estimate,Medium
380,Compostable Plastic - Coated Paper Barrier,30,8,80,0.7,70,110,Snack Packs,Estimate,Medium
381,Conventional Plastic PET - High Barrier,65,16,1,3.3,45,90,Retort Packs,Estimate,Medium
382,Conventional Plastic PET - Metallized,60,15,1,3.5,40,95,Snack Packs,Estimate,Medium
383,Conventional Plastic PET - Silica Coated,62,16,1,3.4,45,100,High Barrier Films,Estimate,Medium
384,Conventional Plastic PET - Reheat Clear,64,18,1,3.2,50,85,Bottle Preforms,Estimate,Medium
385,Conventional Plastic PET - Thick Sheet,70,20,1,3.6,45,110,Thermoforming,Estimate,Medium
386,Conventional Plastic HDPE - Pipe Grade,80,25,1,3.4,50,95,Pipe/Conduit,Estimate,Medium
387,Conventional Plastic HDPE - Blow Fill,68,20,1,3.1,55,87,Blow Bottles,Estimate,Medium
388,Conventional Plastic HDPE - High MFI,60,16,1,3.0,55,83,Thin Wall,Estimate,Medium
389,Conventional Plastic HDPE - Low MFI,70,22,1,3.3,50,90,Heavy Containers,Estimate,Medium
390,Conventional Plastic HDPE - Film LL Blend,58,16,1,2.9,50,80,Shopping Bags,Estimate,Medium
391,Recycled PET - Food Grade,60,15,1,1.9,80,95,Food Packs,Estimate,Medium
392,Recycled PET - Non Food Grade,60,15,1,1.7,75,85,Fibers/Straps,Estimate,Medium
393,Recycled PET - Fiber Grade,58,14,1,1.6,70,82,Textiles,Estimate,Medium
394,Recycled PET - Sheet High Recycled Content,60,15,1,1.6,80,92,Trays,Estimate,Medium
395,Recycled PET - Bottle Grade High Recycled,60,15,1,1.5,85,98,Bottles,Estimate,Medium
396,Sugarcane Bagasse - Hot Cup Liner,10,6,88,0.42,75,55,Hot Drinks,Estimate,Medium
397,Sugarcane Bagasse - Cold Cup Liner,10,6,90,0.4,78,52,Cold Drinks,Estimate,Medium
398,Sugarcane Bagasse - Heavy Plate,15,9,85,0.45,78,58,Food Service,Estimate,Medium
399,Sugarcane Bagasse - Compartment Tray,14,10,88,0.43,80,57,Meal Trays,Estimate,Medium
400,Sugarcane Bagasse - Lid,11,7,90,0.41,80,53,Food Trays,Estimate,Medium
401,Wood Pulp Molded Fiber - Phone Insert,9,5,88,0.48,75,54,Electronics,Literature,High
402,Wood Pulp Molded Fiber - Laptop Insert,11,7,85,0.52,73,58,Electronics,Estimate,Medium
403,Wood Pulp Molded Fiber - TV Frame,12,8,82,0.55,70,60,Electronics,Estimate,Medium
404,Wood Pulp Molded Fiber - Bottle Pack,10,6,86,0.5,75,56,Beverage,Estimate,Medium
405,Wood Pulp Molded Fiber - Cosmetic Insert,8,4,90,0.47,78,52,Cosmetics,Estimate,Medium
406,Corrugated Paperboard - BC Flute,18,25,5,1.25,90,50,Shipping,Literature,High
407,Corrugated Paperboard - EB Flute,17,22,5,1.22,92,49,Display,Estimate,Medium
408,Corrugated Paperboard - E Flute,15,18,5,1.15,92,46,Small Packs,Estimate,Medium
409,Corrugated Paperboard - F Flute,14,16,5,1.12,92,44,Micro Packs,Estimate,Medium
410,Corrugated Paperboard - RSC Box Board,16,20,5,1.2,92,48,Regular Slotted,Estimate,Medium
411,Cotton Fabric Wrap - Gift Grade,19,8,90,0.6,70,100,Gift Wrap,Estimate,Medium
412,Cotton Fabric Wrap - Industrial,22,10,88,0.65,65,95,Industrial Wrap,Estimate,Medium
413,Cotton Fabric Wrap - Printed Premium,20,8,88,0.62,68,110,Premium Packaging,Estimate,Medium
414,Cotton Fabric Wrap - Dyed,21,9,88,0.63,68,105,Brand Wraps,Estimate,Medium
415,Cotton Fabric Wrap - Recycled Blend,18,7,92,0.55,75,90,General Wraps,Estimate,Medium
416,Jute Bag - Retail,24,11,95,0.5,85,88,Retail Bags,Estimate,Medium
417,Jute Bag - Supermarket,26,13,95,0.52,85,92,Shopping Bags,Estimate,Medium
418,Jute Bag - Promotional,23,10,95,0.49,87,86,Promo Bags,Estimate,Medium
419,Jute Bag - Heavy Duty Retail,29,16,93,0.55,83,98,Heavy Retail Bags,Estimate,Medium
420,Jute Bag - Drawstring,21,9,95,0.48,88,84,Gift Bags,Estimate,Medium
421,PLA Sheet - Retail Food Grade,50,12,80,0.55,70,125,Food Packs,Literature,High
422,PLA Sheet - Industrial,52,13,78,0.6,68,130,Electronics,Estimate,Medium
423,PLA Sheet - High Impact,55,14,75,0.65,65,135,Durables,Estimate,Medium
424,PLA Sheet - Printing Grade,49,11,80,0.56,70,122,Print Packaging,Estimate,Medium
425,PLA Sheet - Barrier Coated,51,12,78,0.6,68,128,Snacks,Estimate,Medium
426,Polylactic Acid Blend - Bottle,48,11,80,0.5,70,120,Bottles,Estimate,Medium
427,Polylactic Acid Blend - Sheet High Barrier,47,11,78,0.55,68,123,Snacks,Estimate,Medium
428,Polylactic Acid Blend - Film High Clarity,45,10,80,0.5,70,118,Window Packs,Estimate,Medium
429,Polylactic Acid Blend - Foamable,42,9,80,0.6,65,115,Foam Packs,Estimate,Medium
430,Polylactic Acid Blend - Injection Grade,50,12,78,0.58,68,125,Closures,Estimate,Medium
431,Biodegradable Film - High Clarity,31,8,85,0.6,65,106,Confectionery,Estimate,Medium
432,Biodegradable Film - Matte Finish,29,7,87,0.59,67,104,Snacks,Estimate,Medium
433,Biodegradable Film - Metallized,33,8,80,0.7,60,112,Snacks,Estimate,Medium
434,Biodegradable Film - Printed,30,8,85,0.62,65,108,Brand Packs,Estimate,Medium
435,Biodegradable Film - Anti-fog,31,8,85,0.61,65,109,Fresh Produce,Estimate,Medium
436,Aluminum Foil - Household Heavy,65,15,1,7.8,90,140,Household,Estimate,Medium
437,Aluminum Foil - Converter Grade,68,18,1,8.1,90,150,Converters,Estimate,Medium
438,Aluminum Foil - Bare Pharma,72,18,1,8.3,92,160,Pharma,Literature,High
439,Aluminum Foil - Lacquered Pharma,74,19,1,8.4,90,165,Pharma,Estimate,Medium
440,Aluminum Foil - Flexible Laminates,70,20,1,8.5,85,155,Snack Packs,Estimate,Medium
441,Glass Bottle - Cosmetics,80,15,0,2.4,95,120,Cosmetics,Literature,High
442,Glass Bottle - Pharma Syrup,85,18,0,2.5,95,118,Pharma,Estimate,Medium
443,Glass Bottle - Oil,88,20,0,2.6,95,122,Edible Oil,Estimate,Medium
444,Glass Bottle - Sauce,83,17,0,2.4,95,118,Sauces,Estimate,Medium
445,Glass Bottle - Spirit,92,22,0,2.7,95,130,Spirits,Estimate,Medium
446,Steel Can - Beverage,78,19,0,6.0,90,100,Beverages,Literature,High
447,Steel Can - Food 3-piece,80,22,0,6.1,90,102,Canned Food,Estimate,Medium
448,Steel Can - Food 2-piece,82,23,0,6.2,90,104,Canned Food,Estimate,Medium
449,Steel Can - Paint,85,24,0,6.3,90,108,Paints,Estimate,Medium
450,Steel Can - Aerosol Food,78,19,0,6.1,88,106,Edible Aerosols,Estimate,Medium
451,Mixed Plastic (HDPE+PET) - Bottle,62,16,1,3.6,60,92,Bottles,Estimate,Medium
452,Mixed Plastic (HDPE+PET) - Container,60,15,1,3.5,60,90,Tubs,Estimate,Medium
453,Mixed Plastic (HDPE+PET) - Rigid Thin Wall,58,14,1,3.4,60,88,Trays,Estimate,Medium
454,Mixed Plastic (HDPE+PET) - Pallet Components,65,18,1,3.7,55,95,Pallet Parts,Estimate,Medium
455,Mixed Plastic (HDPE+PET) - Edge Protectors,60,15,1,3.5,58,92,Edge Protectors,Estimate,Medium
456,Recycled Mixed Plastic - Bottle,60,15,1,2.0,70,87,Non-food Bottles,Estimate,Medium
457,Recycled Mixed Plastic - Container,58,14,1,1.9,70,85,Tubs,Estimate,Medium
458,Recycled Mixed Plastic - Sheet High Density,62,16,1,2.2,65,90,Boards,Estimate,Medium
459,Recycled Mixed Plastic - Film Low Gauge,52,13,1,1.8,72,82,Films,Estimate,Medium
460,Recycled Mixed Plastic - Foam High Resilience,48,11,1,1.7,70,80,Foam Packs,Estimate,Medium
461,PLA Compostable Pack - Salad Bowl,50,10,85,0.55,70,118,Salad Packs,Estimate,Medium
462,PLA Compostable Pack - Soup Bowl,52,11,80,0.6,68,120,Soup Packs,Estimate,Medium
463,PLA Compostable Pack - Flat Tray,48,9,88,0.54,70,116,Trays,Estimate,Medium
464,PLA Compostable Pack - Hinged Lid,49,9,86,0.55,70,117,Clamshells,Estimate,Medium
465,PLA Compostable Pack - Lid Only,47,8,88,0.52,70,114,Lids,Estimate,Medium
466,Paper Pulp Tray - Fruit Punnet,13,9,80,0.88,88,50,Fruit Punnets,Estimate,Medium
467,Paper Pulp Tray - Meat Tray,15,11,78,0.95,85,55,Meat Packs,Estimate,Medium
468,Paper Pulp Tray - Egg Tray,12,10,84,0.9,88,48,Egg Packs,Literature,High
469,Paper Pulp Tray - Industrial,16,12,75,1.0,85,60,Parts Packaging,Estimate,Medium
470,Paper Pulp Tray - Cosmetic,11,8,85,0.87,90,52,Cosmetics,Estimate,Medium
471,Cardboard Sleeve - Beverage Multipack,17,14,5,1.15,90,45,Drinks Multipacks,Estimate,Medium
472,Cardboard Sleeve - Cosmetics,15,10,5,1.05,92,42,Beauty Packs,Estimate,Medium
473,Cardboard Sleeve - Confectionery,14,9,5,1.02,92,40,Chocolate Packs,Estimate,Medium
474,Cardboard Sleeve - Frozen Foods,16,12,5,1.1,90,44,Frozen Packs,Estimate,Medium
475,Cardboard Sleeve - Ready Meals,16,12,5,1.1,90,44,Ready Meals,Estimate,Medium
476,PLA Clamshell - Two-compartment,50,10,78,0.56,68,123,Meals,Estimate,Medium
477,PLA Clamshell - Three-compartment,52,11,78,0.58,68,125,Meals,Estimate,Medium
478,PLA Clamshell - Snack,48,9,82,0.54,70,118,Snacks,Estimate,Medium
479,PLA Clamshell - Bakery Large,49,9,80,0.53,70,120,Bakery,Estimate,Medium
480,PLA Clamshell - Small Portion,47,8,85,0.51,70,116,Small Meals,Estimate,Medium
481,Recycled Cardboard Box - Wine Shipper,18,20,5,0.85,95,45,Wine Packs,Estimate,Medium
482,Recycled Cardboard Box - Book Shipper,15,15,5,0.8,95,40,Books,Estimate,Medium
483,Recycled Cardboard Box - Apparel Shipper,14,12,5,0.78,95,39,Apparel,Estimate,Medium
484,Recycled Cardboard Box - Electronics Shipper,17,18,5,0.83,95,44,Electronics,Estimate,Medium
485,Recycled Cardboard Box - Grocery Shipper,16,16,5,0.82,95,42,Grocery,Estimate,Medium
486,Bamboo Fiber Cup,14,9,90,0.45,78,65,Hot/Cold Cups,Estimate,Medium
487,Bamboo Fiber Bowl,15,10,88,0.46,78,68,Bowls,Estimate,Medium
488,Bamboo Fiber Plate - Large,16,10,88,0.47,78,70,Plates,Estimate,Medium
489,Bamboo Fiber Plate - Small,14,8,90,0.44,80,63,Plates,Estimate,Medium
490,Bamboo Fiber Tray,17,11,88,0.48,75,72,Trays,Estimate,Medium
491,Hemp Fiber Sack,22,14,90,0.4,80,85,Bulk Sacks,Estimate,Medium
492,Hemp Fiber Board,24,15,85,1.1,70,95,Boards,Estimate,Medium
493,Hemp Fiber Molded Shell,21,13,88,1.0,75,92,Protective Shells,Estimate,Medium
494,Hemp Paper - Thin,7,5,90,0.38,80,60,Print Wrap,Estimate,Medium
495,Hemp Paper - Board,12,8,90,0.4,82,68,Cartons,Estimate,Medium
496,Mushroom Mycelium Tray,9,6,98,0.32,60,82,Trays,Estimate,Medium
497,Mushroom Mycelium Bottle Protector,10,7,98,0.33,60,85,Bottle Packs,Estimate,Medium
498,Mushroom Mycelium Electronics Pack,11,8,98,0.34,60,88,Electronics,Estimate,Medium
499,Mushroom Mycelium Box Insert,8,5,98,0.31,60,80,General Packaging,Estimate,Medium
500,Mushroom Mycelium Block - Heavy,12,9,96,0.36,60,90,Heavy Goods,Estimate,Medium
501,Seaweed Bioplastic - Snack Film,27,7,88,0.41,65,102,Snacks,Estimate,Medium
502,Seaweed Bioplastic - Standup Pouch,29,8,85,0.43,65,108,Snacks,Estimate,Medium
503,Seaweed Bioplastic - Bottle Coating,24,6,90,0.4,65,98,Bottle Lining,Estimate,Medium
504,Seaweed Bioplastic - Blister Form,31,9,82,0.46,60,112,Blisters,Estimate,Medium
505,Seaweed Bioplastic - Adhesive Film,26,7,88,0.42,65,104,Labels,Estimate,Medium
506,Paper Honeycomb Door Filler,21,30,80,1.2,80,85,Interior Doors,Estimate,Medium
507,Paper Honeycomb Edge Filler,19,24,80,1.1,80,78,Furniture,Estimate,Medium
508,Paper Honeycomb Pallet Top,22,28,78,1.25,78,88,Pallet Top,Estimate,Medium
509,Paper Honeycomb Core Panel,23,32,78,1.3,75,90,Sandwich Panels,Estimate,Medium
510,Recycled Paper Honeycomb Pallet,20,26,80,1.0,85,82,Pallet,Estimate,Medium
511,Bio-PE Cap,60,14,10,1.6,75,145,Bottle Caps,Estimate,Medium
512,Bio-PE Bottle,55,15,15,1.5,75,140,Bottles,Estimate,Medium
513,Bio-PE Pouch Film,48,13,20,1.4,75,135,Pouches,Estimate,Medium
514,Bio-PE Shrink Hood,50,14,20,1.45,75,138,Pallet Hoods,Estimate,Medium
515,Bio-PE Liner Bag,45,12,25,1.35,78,132,Liners,Estimate,Medium
516,Paper-PLA Cup,18,10,60,1.0,75,120,Hot Cups,Literature,High
517,Paper-PLA Bowl,19,11,60,1.05,75,122,Bowls,Estimate,Medium
518,Paper-PE Cup,20,12,5,2.4,65,90,Hot Cups,Literature,High
519,Paper-BioPE Cup,19,11,30,1.7,70,110,Hot Cups,Estimate,Medium
520,Paper-PLA Lid,17,9,60,0.95,75,115,Lids,Estimate,Medium
521,FSC Virgin Cardboard,16,15,5,1.14,92,46,General Packaging,Literature,High
522,FSC Recycled Cardboard,16,15,5,0.82,96,41,General Packaging,Literature,High
523,FSC Virgin Paper,5,5,5,0.9,87,36,Light Packaging,Literature,High
524,FSC Recycled Paper,5,5,5,0.6,92,31,Light Packaging,Literature,High
525,FSC Corrugated Board,16,20,5,1.18,94,49,Shipping,Literature,High
526,FSC Molded Fiber,10,6,85,0.5,80,56,Electronics,Literature,High
527,Low-carbon Virgin Cardboard,15,15,5,0.9,90,48,General Packaging,Estimate,Medium
528,Low-carbon Recycled Cardboard,15,15,5,0.7,95,43,General Packaging,Estimate,Medium
529,Low-carbon Virgin Paper,5,5,5,0.75,85,38,Light Packaging,Estimate,Medium
530,Low-carbon Recycled Paper,5,5,5,0.5,92,33,Light Packaging,Estimate,Medium
531,CO2-optimized PLA,50,10,80,0.4,70,130,Food Packaging,Estimate,Medium
532,CO2-optimized Compostable Film,35,8,85,0.45,70,120,Food Packaging,Estimate,Medium
533,Recycled High-Strength PET,65,16,1,1.7,80,95,High Strength Packs,Estimate,Medium
534,Recycled High-Strength Cardboard,18,20,5,0.85,95,47,Heavy Boxes,Estimate,Medium
535,High-recycled Corrugated,16,20,5,0.9,98,46,Shipping,Estimate,Medium
536,Recycled Bagasse Board,14,9,88,0.38,82,52,Food Trays,Estimate,Medium
537,Recycled Molded Fiber,10,6,88,0.45,80,53,Cushioning,Estimate,Medium
538,Recycled Glass Bottle,90,25,0,2.0,98,115,Drinks,Estimate,Medium
539,Recycled Steel Can,80,22,0,4.0,95,95,Foods,Estimate,Medium
540,Closed-loop PET Bottle,60,18,1,1.5,90,100,Beverages,Estimate,Medium
541,Closed-loop Cardboard Box,16,16,5,0.7,98,45,E-commerce,Estimate,Medium
542,Closed-loop Paper Mailer,14,8,80,0.6,98,40,Mailers,Estimate,Medium
543,Closed-loop HDPE Bottle,65,18,1,2.0,80,88,Personal Care,Estimate,Medium
544,Closed-loop PP Container,55,16,1,1.9,70,78,Food Packs,Estimate,Medium
545,Paper-Clay Mix Cup,16,9,80,1.2,70,75,Hot Cups,Estimate,Medium
546,Paper-Bagasse Mix Board,17,10,85,1.0,75,70,Cartons,Estimate,Medium
547,Paper-Wheat Straw Mix Board,16,9,87,0.95,78,68,Cartons,Estimate,Medium
548,Paper-Rice Husk Mix Board,17,10,85,1.0,75,72,Cartons,Estimate,Medium
549,Paper-Kenaf Mix Board,18,11,83,1.05,72,74,Cartons,Estimate,Medium
550,Algae-based Bioplastic,40,9,85,0.45,65,110,Food Packs,Estimate,Medium
551,Algae-based Film,35,8,88,0.42,68,105,Snacks,Estimate,Medium
552,Algae-based Rigid Tray,42,10,80,0.48,65,115,Trays,Estimate,Medium
553,Algae-based Coating,30,7,90,0.4,70,100,Paper Coating,Estimate,Medium
554,Algae-based Laminate,38,9,82,0.46,65,112,Snacks,Estimate,Medium
555,Recycled Textile Padding,12,8,85,0.6,70,50,Padding,Estimate,Medium
556,Recycled Denim Padding,14,9,88,0.65,68,55,Padding,Estimate,Medium
557,Recycled Wool Padding,16,10,90,0.7,72,60,Insulating Packs,Estimate,Medium
558,Bio-based Polyester Padding,15,9,30,1.8,50,75,Insulating Packs,Estimate,Medium
559,Cellulose Fiber Padding,10,7,90,0.8,80,55,Padding,Estimate,Medium
560,Recycled PET Fiber Padding,16,10,1,1.6,70,65,Padding,Estimate,Medium
561,Low-density EPS,10,8,0,4.5,10,35,Protective,Estimate,Medium
562,High-density EPS,20,14,0,5.5,10,45,Protective,Estimate,Medium
563,Graphite EPS,22,15,0,6.0,10,50,Insulating,Estimate,Medium
564,PLA-EPS Hybrid Foam,18,12,40,3.0,30,70,Protective,Estimate,Medium
565,Compostable Foam from PLA-Starch,15,10,80,1.5,50,80,Protective,Estimate,Medium
566,Paper-starch Loose Fill,9,7,90,0.8,75,60,Loose Fill,Estimate,Medium
567,Bio-based PU Foam High,18,12,30,3.3,40,95,Protective,Estimate,Medium
568,Waste-paper Molded Inserts,9,6,85,0.7,85,45,Inserts,Estimate,Medium
569,Recycled Newsprint Molded Inserts,8,5,85,0.6,90,40,Inserts,Estimate,Medium
570,Thin Recycled Glass Sheet,50,12,0,1.8,98,130,Display,Estimate,Medium
571,Thick Recycled Glass Sheet,70,18,0,2.2,98,145,Display,Estimate,Medium
572,Recycled Glass Microsphere Filler,60,10,0,1.5,98,120,Filler,Estimate,Medium
573,Glass-particulate Filled PP,65,16,1,3.0,40,90,Durables,Estimate,Medium
574,Glass-particulate Filled PLA,60,14,70,1.2,60,130,Durables,Estimate,Medium
575,Wood-plastic Composite (WPC),50,20,10,2.5,40,80,Pallet Decks,Estimate,Medium
576,Recycled WPC,50,20,10,2.0,50,75,Pallet Decks,Estimate,Medium
577,Paper-based Edge Protector,18,14,80,1.0,85,60,Edge Protection,Estimate,Medium
578,Recycled Paper-based Edge Protector,18,14,82,0.9,90,55,Edge Protection,Estimate,Medium
579,Virgin Plastic Edge Protector (PP),55,20,1,2.5,30,50,Edge Protection,Estimate,Medium
580,Recycled Plastic Edge Protector (PP),55,20,1,1.9,50,48,Edge Protection,Estimate,Medium
581,Paper-based Corner Board,16,12,80,0.95,88,55,Corner Protection,Estimate,Medium
582,Recycled Paper-based Corner Board,16,12,82,0.85,92,50,Corner Protection,Estimate,Medium
583,Bio-based Corner Protector,20,14,35,1.7,60,80,Corner Protection,Estimate,Medium
584,Paper-organic Fiber Board,18,13,85,1.0,75,70,Boards,Estimate,Medium
585,Recycled Paper-organic Fiber Board,18,13,88,0.9,80,65,Boards,Estimate,Medium
586,Virgin Cardboard - Pharma Folding Box,15,12,5,1.1,90,45,Pharma,Estimate,Medium
587,Recycled Cardboard - Pharma Folding Box,15,12,5,0.8,95,40,Pharma,Estimate,Medium
588,Virgin Paper - Pharma Leaflet,5,4,5,0.9,85,35,Pharma Inserts,Estimate,Medium
589,Recycled Paper - Pharma Leaflet,5,4,5,0.6,90,30,Pharma Inserts,Estimate,Medium
590,Blister Pack PET-Alu,65,18,1,7.0,30,160,Pharma,Literature,High
591,Blister Pack PVC-Alu,60,16,1,8.0,10,120,Pharma,Literature,High
592,Recyclable Blister PET-PET,65,18,1,3.0,40,150,Pharma,Estimate,Medium
593,Paper Blister with PLA Window,30,12,70,1.2,70,140,Pharma,Estimate,Medium
594,Paper Blister with Cellulose Window,28,11,80,1.0,72,135,Pharma,Estimate,Medium
595,Paper-stick Pack,15,8,75,0.9,85,50,Stick Packs,Estimate,Medium
596,Plastic-stick Pack (PET/PE),50,12,1,3.0,30,70,Stick Packs,Estimate,Medium
597,Bio-based-stick Pack,40,10,40,1.8,50,90,Stick Packs,Estimate,Medium
598,Recyclable Mono-PE Stick Pack,45,11,1,2.5,50,85,Stick Packs,Estimate,Medium
599,Recycled Mono-PE Stick Pack,45,11,1,1.9,65,80,Stick Packs,Estimate,Medium
600,Virgin PP Rigid Cup,50,13,1,2.6,40,75,Food Cups,Literature,High
601,Recycled PP Rigid Cup,50,13,1,1.9,55,72,Food Cups,Estimate,Medium
602,Virgin HIPS Cup,45,12,1,3.0,10,65,Dairy Cups,Literature,High
603,Recycled HIPS Cup,45,12,1,2.1,30,60,Dairy Cups,Estimate,Medium
